   1 ２六歩(27)        ( 0:01/00:00:01)
   2 ３四歩(33)        ( 0:02/00:00:02)
   3 ２五歩(26)        ( 0:00/00:00:01)
   4 ３三角(22)        ( 0:01/00:00:03)
   5 ４八銀(39)        ( 0:00/00:00:01)
   6 ２二飛(82)        ( 0:03/00:00:06)
   7 ３六歩(37)        ( 0:01/00:00:02)
   8 ４二銀(31)        ( 0:03/00:00:09)
   9 ４六歩(47)        ( 0:01/00:00:03)
  10 ５四歩(53)        ( 0:02/00:00:11)
  11 ４七銀(48)        ( 0:01/00:00:04)
  12 ５三銀(42)        ( 0:01/00:00:12)
  13 ３七桂(29)        ( 0:02/00:00:06)
  14 ４四歩(43)        ( 0:03/00:00:15)
  15 ４八金(49)        ( 0:01/00:00:07)
  16 ６二玉(51)        ( 0:01/00:00:16)
  17 ７六歩(77)        ( 0:01/00:00:08)
  18 ３二金(41)        ( 0:04/00:00:20)
  19 ５八玉(59)        ( 0:01/00:00:09)
  20 ４三金(32)        ( 0:01/00:00:21)
  21 ７八金(69)        ( 0:00/00:00:09)
  22 ７二玉(62)        ( 0:03/00:00:24)
  23 ５六歩(57)        ( 0:01/00:00:10)
  24 ８二玉(72)        ( 0:02/00:00:26)
  25 ６八銀(79)        ( 0:01/00:00:11)
  26 ７二銀(71)        ( 0:02/00:00:28)
  27 ５七銀(68)        ( 0:01/00:00:12)
  28 ９四歩(93)        ( 0:07/00:00:35)
  29 ９六歩(97)        ( 0:00/00:00:12)
  30 １四歩(13)        ( 0:01/00:00:36)
  31 ２九飛(28)        ( 0:05/00:00:17)
  32 １五歩(14)        ( 0:02/00:00:38)
  33 ８六歩(87)        ( 0:03/00:00:20)
  34 ６四歩(63)        ( 0:04/00:00:42)
  35 ８五歩(86)        ( 0:01/00:00:21)
  36 １四香(11)        ( 0:07/00:00:49)
  37 １八香(19)        ( 0:06/00:00:27)
  38 １二飛(22)        ( 0:08/00:00:57)
  39 １九飛(29)        ( 0:02/00:00:29)
  40 ２二飛(12)        ( 0:03/00:01:00)
  41 ２九飛(19)        ( 0:03/00:00:32)
  42 ７四歩(73)        ( 0:06/00:01:06)
  43 ３八金(48)        ( 0:06/00:00:38)
  44 ６二銀(53)        ( 0:02/00:01:08)
  45 ４五歩(46)        ( 0:06/00:00:44)
  46 ６三銀(62)        ( 0:05/00:01:13)
  47 ４四歩(45)        ( 0:01/00:00:45)
  48 同　金(43)        ( 0:02/00:01:15)
  49 ４五歩打           ( 0:01/00:00:46)
  50 ４三金(44)        ( 0:00/00:01:15)
  51 ３三角成(88)       ( 0:02/00:00:48)
  52 同　桂(21)        ( 0:02/00:01:17)
  53 １三角打           ( 0:03/00:00:51)
  54 ２一飛(22)        ( 0:05/00:01:22)
  55 ４六角成(13)       ( 0:05/00:00:56)
  56 ５三角打           ( 0:08/00:01:30)
  57 ２七金(38)        ( 0:04/00:01:00)
  58 ７三桂(81)        ( 0:04/00:01:34)
  59 １三馬(46)        ( 0:09/00:01:09)
  60 ３五歩(34)        ( 0:09/00:01:43)
  61 同　歩(36)        ( 0:05/00:01:14)
  62 ４四歩打           ( 0:02/00:01:45)
  63 同　歩(45)        ( 0:10/00:01:24)
  64 同　金(43)        ( 0:02/00:01:47)
  65 １四馬(13)        ( 0:08/00:01:32)
  66 ３五金(44)        ( 0:02/00:01:49)
  67 ３六歩打           ( 0:01/00:01:33)
  68 ４六歩打           ( 0:03/00:01:52)
  69 ３八銀(47)        ( 0:02/00:01:35)
  70 ３四金(35)        ( 0:10/00:02:02)
  71 ４六銀(57)        ( 0:01/00:01:36)
  72 ４一飛(21)        ( 0:08/00:02:10)
  73 ４七歩打           ( 0:01/00:01:37)
  74 ４五桂(33)        ( 0:04/00:02:14)
  75 ２三馬(14)        ( 0:03/00:01:40)
  76 ３七桂成(45)       ( 0:04/00:02:18)
  77 同　銀(38)        ( 0:01/00:01:41)
  78 ４六飛(41)        ( 0:06/00:02:24)
  79 同　歩(47)        ( 0:09/00:01:50)
  80 ３八銀打           ( 0:02/00:02:26)
  81 ２八飛(29)        ( 0:02/00:01:52)
  82 ２七銀成(38)       ( 0:04/00:02:30)
  83 同　飛(28)        ( 0:01/00:01:53)
  84 ４四金(34)        ( 0:10/00:02:40)
  85 ３三飛打           ( 0:08/00:02:01)
  86 ６五桂(73)        ( 0:08/00:02:48)
  87 ６九桂打           ( 0:09/00:02:10)
  88 ５一桂打           ( 0:07/00:02:55)
  89 ６六歩(67)        ( 0:10/00:02:20)
  90 ４三金(44)        ( 0:03/00:02:58)
  91 ３二飛成(33)       ( 0:04/00:02:24)
  92 ４二金(43)        ( 0:03/00:03:01)
  93 １二龍(32)        ( 0:04/00:02:28)
  94 投了             ( 0:00/00:03:01)
まで93手で先手の勝ち
